label,left_landmark_0_x,left_landmark_0_y,left_landmark_1_x,left_landmark_1_y,left_landmark_2_x,left_landmark_2_y,left_landmark_3_x,left_landmark_3_y,left_landmark_4_x,left_landmark_4_y,left_landmark_5_x,left_landmark_5_y,left_landmark_6_x,left_landmark_6_y,left_landmark_7_x,left_landmark_7_y,left_landmark_8_x,left_landmark_8_y,left_landmark_9_x,left_landmark_9_y,left_landmark_10_x,left_landmark_10_y,left_landmark_11_x,left_landmark_11_y,left_landmark_12_x,left_landmark_12_y,left_landmark_13_x,left_landmark_13_y,left_landmark_14_x,left_landmark_14_y,left_landmark_15_x,left_landmark_15_y,left_landmark_16_x,left_landmark_16_y,left_landmark_17_x,left_landmark_17_y,left_landmark_18_x,left_landmark_18_y,left_landmark_19_x,left_landmark_19_y,left_landmark_20_x,left_landmark_20_y,right_landmark_0_x,right_landmark_0_y,right_landmark_1_x,right_landmark_1_y,right_landmark_2_x,right_landmark_2_y,right_landmark_3_x,right_landmark_3_y,right_landmark_4_x,right_landmark_4_y,right_landmark_5_x,right_landmark_5_y,right_landmark_6_x,right_landmark_6_y,right_landmark_7_x,right_landmark_7_y,right_landmark_8_x,right_landmark_8_y,right_landmark_9_x,right_landmark_9_y,right_landmark_10_x,right_landmark_10_y,right_landmark_11_x,right_landmark_11_y,right_landmark_12_x,right_landmark_12_y,right_landmark_13_x,right_landmark_13_y,right_landmark_14_x,right_landmark_14_y,right_landmark_15_x,right_landmark_15_y,right_landmark_16_x,right_landmark_16_y,right_landmark_17_x,right_landmark_17_y,right_landmark_18_x,right_landmark_18_y,right_landmark_19_x,right_landmark_19_y,right_landmark_20_x,right_landmark_20_y
hi,0.4429413676261902,0.7145200371742249,0.4690520465373993,0.7302094101905823,0.5055657625198364,0.7260701060295105,0.530630350112915,0.711272120475769,0.5445437431335449,0.6955863237380981,0.5130935907363892,0.6988762021064758,0.5346126556396484,0.6867029666900635,0.5517239570617676,0.681714653968811,0.5654256939888,0.6813671588897705,0.5086948275566101,0.6821123361587524,0.531862735748291,0.6687127947807312,0.5492466688156128,0.6613338589668274,0.5663778781890869,0.6573481559753418,0.5020756125450134,0.6649650931358337,0.5232664942741394,0.651982307434082,0.5417519211769104,0.6453565955162048,0.5582355260848999,0.6424905061721802,0.4920024871826172,0.6463719010353088,0.511405348777771,0.6364565491676331,0.5262022614479065,0.6308577060699463,0.5392604470252991,0.6286049485206604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.4432820677757263,0.7224373817443848,0.4720774292945862,0.732761561870575,0.5056750178337097,0.7265399098396301,0.5286895036697388,0.7130312919616699,0.5439931750297546,0.698585569858551,0.5095204710960388,0.7010416388511658,0.5303758382797241,0.6881495714187622,0.5470065474510193,0.6847968101501465,0.5592948198318481,0.6851361989974976,0.5045620203018188,0.6856704950332642,0.5277872681617737,0.6734511852264404,0.5449095964431763,0.6675764322280884,0.5599333047866821,0.6649894118309021,0.4980038106441498,0.6692531704902649,0.519301176071167,0.6585010886192322,0.5372615456581116,0.6531313061714172,0.5532925724983215,0.6508840918540955,0.48932945728302,0.6509424448013306,0.5082280039787292,0.6413938403129578,0.5225062966346741,0.6380365490913391,0.5353343486785889,0.6377003788948059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.440321147441864,0.724844217300415,0.4666764438152313,0.7351354360580444,0.49930906295776367,0.7271268367767334,0.5221740007400513,0.7148577570915222,0.5376170873641968,0.7018215656280518,0.502753496170044,0.6969048380851746,0.5217549204826355,0.6830534934997559,0.5394600629806519,0.6769587993621826,0.5532181262969971,0.6750478148460388,0.4968894124031067,0.6816465854644775,0.5183117389678955,0.6670385003089905,0.5363451242446899,0.6578766703605652,0.5532072186470032,0.6531160473823547,0.4896106421947479,0.6660625338554382,0.5092667937278748,0.6530449390411377,0.5272072553634644,0.6466681361198425,0.5436760783195496,0.6443079113960266,0.4798923432826996,0.6492059230804443,0.4973393678665161,0.6371148824691772,0.5116450786590576,0.6320626735687256,0.52483731508255,0.631260097026825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.4394835829734802,0.7346597909927368,0.4661448299884796,0.740094006061554,0.49861836433410645,0.7270833253860474,0.5201433897018433,0.7106087803840637,0.5339560508728027,0.6923199892044067,0.4991476535797119,0.6987653374671936,0.5171896815299988,0.6822475790977478,0.5339596271514893,0.6741692423820496,0.5472026467323303,0.6703450679779053,0.49281376600265503,0.6853034496307373,0.5128124952316284,0.6696720123291016,0.5292750597000122,0.6598222255706787,0.5455296635627747,0.6542632579803467,0.4847286343574524,0.6711117625236511,0.503435492515564,0.6577050089836121,0.5200071930885315,0.6503539085388184,0.5359935164451599,0.6467254161834717,0.4739314317703247,0.655531644821167,0.49167242646217346,0.6433047652244568,0.5052181482315063,0.6380768418312073,0.5182096362113953,0.6360474228858948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.43761110305786133,0.7471439242362976,0.46631476283073425,0.7517791390419006,0.4968324303627014,0.7377763986587524,0.5174346566200256,0.7228295803070068,0.5296096801757812,0.7052103877067566,0.4917140305042267,0.7049039006233215,0.5091211199760437,0.6896563172340393,0.524806797504425,0.6832961440086365,0.536844789981842,0.6812968254089355,0.48515164852142334,0.6942623853683472,0.5036198496818542,0.6780486702919006,0.5186715722084045,0.6703196167945862,0.5334168076515198,0.6676458120346069,0.47771820425987244,0.6820935606956482,0.4953407645225525,0.6670562028884888,0.510474443435669,0.6608713865280151,0.5243122577667236,0.6591687798500061,0.4684695303440094,0.6686866879463196,0.4853794574737549,0.6547279357910156,0.49870169162750244,0.6502000093460083,0.5111015439033508,0.6493388414382935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.4356085956096649,0.7575843334197998,0.46052056550979614,0.7650737166404724,0.48972654342651367,0.7520874738693237,0.5082265138626099,0.7365520000457764,0.5181865692138672,0.7187785506248474,0.48893070220947266,0.7233095169067383,0.5075037479400635,0.7077369689941406,0.5253781676292419,0.6984810829162598,0.5390918850898743,0.6941753625869751,0.4837028384208679,0.7116269469261169,0.5038753151893616,0.6947321891784668,0.5204978585243225,0.6847468018531799,0.5370811223983765,0.6789062023162842,0.47731688618659973,0.698125958442688,0.49526241421699524,0.6815916299819946,0.5119234323501587,0.6720423102378845,0.5280725359916687,0.6659770011901855,0.4686048924922943,0.682180643081665,0.4849667251110077,0.6672220826148987,0.49863186478614807,0.6582977771759033,0.5122008323669434,0.6518762707710266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.4321465790271759,0.7700675129890442,0.4561755061149597,0.7761660814285278,0.48676297068595886,0.7615779638290405,0.506712794303894,0.7450269460678101,0.5179947018623352,0.7272046804428101,0.48596787452697754,0.7334503531455994,0.5034476518630981,0.7160375118255615,0.5201455950737,0.707490086555481,0.533476710319519,0.7040112018585205,0.4784286618232727,0.721351146697998,0.497177392244339,0.7034001350402832,0.5130648016929626,0.6941447854042053,0.5292913913726807,0.6897795796394348,0.469595342874527,0.7085128426551819,0.48649561405181885,0.6906312704086304,0.502633273601532,0.6823346614837646,0.5186388492584229,0.6786179542541504,0.4586476981639862,0.6941641569137573,0.47401919960975647,0.6780828833580017,0.488150417804718,0.6696487069129944,0.502325713634491,0.66485595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.42501723766326904,0.7751953601837158,0.44959238171577454,0.7807216048240662,0.47706183791160583,0.7676838636398315,0.49435660243034363,0.7529414296150208,0.5038571953773499,0.7355069518089294,0.47811010479927063,0.7385756969451904,0.49412739276885986,0.7203157544136047,0.508080244064331,0.7099981307983398,0.519115149974823,0.7040235996246338,0.47023341059684753,0.7266252636909485,0.4867441952228546,0.7077907919883728,0.4999670088291168,0.6970874667167664,0.5129804015159607,0.6906651258468628,0.4612780809402466,0.7144519686698914,0.47557440400123596,0.6957486271858215,0.488816499710083,0.685477077960968,0.501371443271637,0.6790876984596252,0.45086920261383057,0.7019813656806946,0.4631512463092804,0.6860275268554688,0.47401678562164307,0.6766623258590698,0.4846677780151367,0.6702365279197693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.4209115207195282,0.7845829129219055,0.4433494508266449,0.7841042280197144,0.46773287653923035,0.7693535089492798,0.4845743477344513,0.7544881105422974,0.4955425560474396,0.7383898496627808,0.46510568261146545,0.7345916628837585,0.47900426387786865,0.7168765068054199,0.49262917041778564,0.7116676568984985,0.5030079483985901,0.7109717726707458,0.4588909447193146,0.7267794609069824,0.47381827235221863,0.7084320187568665,0.4869687557220459,0.7020816802978516,0.49935677647590637,0.701662003993988,0.4520144760608673,0.7186954021453857,0.466917484998703,0.7003868818283081,0.4801827669143677,0.6965113878250122,0.4920102059841156,0.6990507245063782,0.4437471628189087,0.7113571763038635,0.45869484543800354,0.6967148780822754,0.47168874740600586,0.6940933465957642,0.4831617772579193,0.6974677443504333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.41302913427352905,0.7907960414886475,0.4358585476875305,0.7920393943786621,0.4637058973312378,0.7747020125389099,0.4817783534526825,0.7549049258232117,0.4935839772224426,0.7360568642616272,0.45398369431495667,0.741987407207489,0.4672772288322449,0.7232091426849365,0.4808829426765442,0.716606080532074,0.4919370412826538,0.7154313921928406,0.4462408423423767,0.7336549162864685,0.4610653817653656,0.7124022245407104,0.47429999709129333,0.7053189277648926,0.48673591017723083,0.7051436305046082,0.43736907839775085,0.7259820103645325,0.4523009955883026,0.7047061920166016,0.46628236770629883,0.6994031071662903,0.47835931181907654,0.7018647193908691,0.42681440711021423,0.7185757160186768,0.4413178563117981,0.7000950574874878,0.45409339666366577,0.695463240146637,0.4652113616466522,0.698201060295105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
